from,mid,last,L,I,predict,real
510959,510960,510961,"Claire Cooper : Even if some children do get back to school before the end of the summer term, their experience is more likely to be about social distancing and hygiene rather than anything of any educational value","even if some children do get back to school before the end of the summer term, their experience is more likely to be about social distancing and hygiene rather than anything of any educational value",,Asserting
510963,510964,510965,Claire Cooper : What can the panel suggest for a whole generation of school children who are now missing nearly half an academic year and face months of distrust about social distancing and social contact and the face of further disruption,xxx is what the panel can suggest for a whole generation of school children who are now missing nearly half an academic year and face months of distrust about social distancing and social contact and the face of further disruption,,Pure Questioning
510968,510969,510970,Fiona Bruce : There's obviously some schools are going to go back on 1st June,there's obviously some schools are going to go back on 1st June,,Asserting
510973,510974,510975,Fiona Bruce : Some are not,some schools are not going to go back on the 1st June,,Asserting
510980,510981,510982,Fiona Bruce : What's happening where you are,xxx is happening with schools where Andy Burnham is,,Pure Questioning
510985,510986,510987,Andy Burnham : It is a mixed picture,it is a mixed picture,,Asserting
510992,510993,510994,Andy Burnham : some are going back,some schools are going back,,Asserting
510996,510997,510998,Andy Burnham : Some have said they would rather take their time to get the right arrangements in place,some schools have said they would rather take their time to get the right arrangements in place,,Asserting
511000,511001,511002,Andy Burnham : we want to get the kids back in school if we can as quickly as possible,we want to get the kids back in school if we can as quickly as possible,,Asserting
511005,511006,511007,Andy Burnham : it's got to be done as safely as possible,getting the kids back in school has got to be done as safely as possible,,Asserting
511010,511011,511012,Andy Burnham : The key thing is here schools haven't closed,the key thing is here schools haven't closed,,Asserting
511015,511016,511017,Andy Burnham : It is not as if they have not been doing anything over recent weeks,it is not as if the schools have not been doing anything over recent weeks,,Asserting
511022,511023,511024,Andy Burnham : Of course they have been looking after children of key workers,of course the schools have been looking after children of key workers,,Asserting
511029,511030,511031,Andy Burnham : teachers are feeling a bit stressed from the teacher-bashing they have seen this week,teachers are feeling a bit stressed from the teacher-bashing they have seen this week,,Asserting
511034,511035,511036,Andy Burnham : we need to sort of de-escalate this row a little bit,we need to sort of de-escalate this row a little bit,,Asserting
511041,511042,511043,"Andy Burnham : The problem is the government dropped a date on people of 1st June, without any real consultation","the problem is the government dropped a date on people of 1st June, without any real consultation",,Asserting
511046,511047,511048,"Andy Burnham : the way to resolve this is to say to head teachers in consultation with councils ""Try to get back by 1st June but as soon as you feel is safe as possible""","the way to resolve this is to say to head teachers in consultation with councils ""Try to get back by 1st June but as soon as you feel is safe as possible""",,Asserting
511051,511052,511053,Andy Burnham : That feels to me to be the right resolution from where we are today,that feels to Andy Burnham to be the right resolution from where we are today,,Asserting
511060,511061,511062,"Chris Philp : On Helle's point about the constituent nations of the United Kingdom, Wales, Scotland and Northern Ireland chart their own course.","on Helle's point about the constituent nations of the United Kingdom, Wales, Scotland and Northern Ireland chart their own course",,Asserting
511064,511065,511066,"Chris Philp : As far as England is concerned, we are following the advice we have been given","as far as England is concerned, we are following the advice we have been given",,Asserting
511068,511069,511070,Chris Philp : It is really important when safe to get children back into school for exactly the reason that Claire mentioned in her question,it is really important when safe to get children back into school for exactly the reason that Claire mentioned in her question,,Asserting
511072,511073,511074,"Chris Philp : I am worried that there are children who are missing out on education, children particularly from disadvantaged backgrounds who are at risk of falling behind in their studies","Chris Philip is worried that there are children who are missing out on education, children particularly from disadvantaged backgrounds who are at risk of falling behind in their studies",,Asserting
511076,511077,511078,Chris Philp : So as soon as we safely can I think it is important to get children back into the classroom,as soon as we safely can it is important to get children back into the classroom,,Asserting
511080,511081,511082,"Chris Philp : at no point are we going to take any risk with anyone's health, the children's, teachers', parents, anyone","at no point are we going to take any risk with anyone's health, the children's, teachers', parents, anyone",,Asserting
511084,511085,511086,Chris Philp : That's why the advice is so important,the advice is so important,,Asserting
511088,511089,511090,Chris Philp : It will get published tomorrow,the advice will get published tomorrow,,Asserting
511092,511093,511094,Chris Philp : There will be further confirmation coming I think next week,there will be further confirmation coming next week,,Asserting
511097,511098,511099,"Chris Philp : We don't want any child to get left behind, particularly those from disadvantaged backgrounds","we don't want any child to get left behind, particularly those from disadvantaged backgrounds",,Asserting
511101,511102,511103,Chris Philp : Let's all work together to make that,let's all work together to reopen schools,,Asserting
511105,511106,511107,Fiona Bruce : Do you think it would be more likely to be successful if head teachers had known about 1 June before it was announced to the nation at large when they heard it on television?,it would be more likely to be successful if head teachers had known about 1 June before it was announced to the nation at large when they heard it on television or not,,Pure Questioning
511109,511110,511111,Chris Philp : There are thousands of head teachers and tens of hundreds of thousands of teachers,there are thousands of head teachers and tens of hundreds of thousands of teachers,,Asserting
511113,511114,511115,Chris Philp : it is hard to announce it to tens of thousands of people,it is hard to announce it to tens of thousands of people,,Asserting
511118,511119,511120,"Chris Philp : it is safe to go back on June 1, as we currently believe it is","it is safe to go back on June 1, as we currently believe it is",,Asserting
511122,511123,511124,"Chris Philp : I would encourage all schools to do that, in a safe way, to make sure children don't fall behind","Chris Philip would encourage all schools to resume, in a safe way, to make sure children don't fall behind",,Asserting
511160,511161,511162,Fiona Bruce : Do you think we could be doing that kind of thing here,Helle Thorning-Schmidt does or does not think we could be doing similar innovative education like Denmark,,Asserting
511164,511165,511166,Helle Thorning-Schmidt : Why not?,we should be doing innovative education like Denmark here,,Rhetorical Questioning
511171,511172,511173,"Helle Thorning-Schmidt : We have empty museums, empty theatres, empty sports facilities","we have empty museums, empty theatres, empty sports facilities",,Asserting
511176,511177,511178,Helle Thorning-Schmidt : Why not use those facilities and give of a different kind of education?,we should use those empty facilities and give of a different kind of education,,Asserting
511183,511184,511185,"Helle Thorning-Schmidt : What I am seeing in Danish schools, yesterday I just saw a report, children were getting sailing education in the sea",Danish children were getting sailing education in the sea,,Asserting
511188,511189,511190,Helle Thorning-Schmidt : So why not actually use this time to think differently about education and team up,we should actually use this time to think differently about education and team up to create innovative education like Denmark,,Asserting
511193,511194,511195,Helle Thorning-Schmidt : it can only be done by local authorities,creating innovative education like Denmark can only be done by local authorities,,Asserting
511202,511204,511206,Helle Thorning-Schmidt : It can't be dictated by the government,creating innovative education like Denmark can't be dictated by the government,,Asserting
511214,511216,511218,Helle Thorning-Schmidt : That's another reason why I think the government needs to have much more consultation with the four nations of this country,local authorities creating innovative education instead of the government is another reason why Helle Thorning-Schmidth thinks the government needs to have much more consultation with the four nations of this country,,Asserting
511224,511226,511228,"Helle Thorning-Schmidt : with local authorities, with cities",the government needs to have much more consultation with the local authorities and cities of this country,,Asserting
511239,511242,511244,Helle Thorning-Schmidt : to make sure this can happen in a smooth way,the government needs to have much more consultation with the local authorities to make sure creating innovative education like Denmark can happen in a smooth way,,Asserting
511256,511258,511260,Helle Thorning-Schmidt :  I would really advise to take the heat out of this,Helle Thorning-Schmidt would really advise to take the heat out of this disagreement between the government and local authorities,,Asserting
511265,511267,511269,Helle Thorning-Schmidt : nothing good comes from this row that we have seen over the last week,nothing good comes from this row between the government and local authorities about innovative education that we have seen over the last week,,Asserting
511199,511403,511203,"Fiona Bruce : James, your mother works in a school",James Graham's mother works in a school,,Asserting
511207,511404,511211,James Graham : She is an office manager in a primary school up in North Nottinghamshire,James Graham's mother is an office manager in a primary school up in North Nottinghamshire,,Asserting
511221,511408,511225,"James Graham : She has been doing a lot of these things, making preparations","James Graham's mother has been doing a lot of these things, making preparations",,Asserting
511229,511409,511233,James Graham :  They are nervous but trying to adapt and be inventive,The people at James Graham's mother's school are nervous but trying to adapt and be inventive,,Asserting
511237,511410,511241,James Graham :  She has been ordering in pedal bins for when kids sneeze,James Graham's mother has been ordering in pedal bins for when kids sneeze,,Asserting
511245,511411,511249,James Graham : They have been measuring out how the desks might work in different classroom,The people at James Graham's mother's school have been measuring out how the desks might work in different classroom,,Asserting
511253,511412,511257,James Graham : I think it is important to say that every local authority and every local school in every local authority is completely different,James Graham thinks it is important to say that every local authority and every local school in every local authority is completely different,,Asserting
511261,511413,511264,James Graham : There are big and small classes,There are big and small classes,,Asserting
511268,511414,511272,James Graham : There are areas of great resource and areas of great deprivation,There are areas of great resource and areas of great deprivation,,Asserting
511276,511415,511280,James Graham : I think it is incumbent on our politicians to empower headmasters and teachers,James Graham thinks it is incumbent on our politicians to empower headmasters and teachers,,Asserting
511283,511416,511285,James Graham : because they know what's best for children in their schools,headmasters and teachers know what's best for children in their schools,,Asserting
511287,511417,511289,"James Graham : I don't necessarily see a need for a uniform, standardised national rollout","James Graham doesn't necessarily see a need for a uniform, standardised national rollout",,Asserting
511291,511418,511293,"James Graham : I think the dates, times and methods need to be decided by the teachers","James Graham thinks the dates, times and methods need to be decided by the teachers",,Asserting
511295,511419,511297,"James Graham : I really love what you said, Helle, about the using of cultural institutions to contribute to the positive learning of children",James Graham really loves what Helle Thorning-Schmidt said about the using of cultural institutions to contribute to the positive learning of children,,Asserting
511300,511420,511302,James Graham : We have a whole generation here who are sat at home with these incredibly eager minds and desires to be learning,We have a whole generation here who are sat at home with these incredibly eager minds and desires to be learning,,Asserting
511304,511421,511306,James Graham :  I think that's definitely one thing that the theatre industry in its lockdown has been reasonably good at,James Graham thinks that's definitely one thing that the theatre industry in its lockdown has been reasonably good at,,Asserting
511308,511422,511310,James Graham :  Education departments have been continuing to function and work with teachers to get actors sat at home and musicians sat at home to inspire kids in that way, Education departments have been continuing to function and work with teachers to get actors sat at home and musicians sat at home to inspire kids in that way,,Asserting
511312,511423,511314,James Graham : unfortunately we are not going to be able to open any time soon,unfortunately the theatre industry is not going to be able to open any time soon,,Asserting
511316,511424,511318,James Graham : I think it is incumbent upon us to find as inventive and as exciting a way to keep our kids stimulated as possible,James Graham thinks it is incumbent upon us to find as inventive and as exciting a way to keep our kids stimulated as possible,,Asserting
511320,511425,511322,"Fiona Bruce : It has turned into a bit of a mess, this 1st June announcement","It has turned into a bit of a mess, this 1st June announcement",,Asserting
511324,511426,511326,"Fiona Bruce : You had Andy saying ""no consultation""","Andy Burnham said ""no consultation""",,Asserting
511328,511427,511330,Fiona Bruce : and Helle was talking about trying to take the heat out of this,Helle Thorning-Schmitdt was talking about trying to take the heat out of this,,Asserting
511332,511428,511334,"Fiona Bruce : on 1st June, at the moment anyway, it looks like there will be 1000, possibly 2000 schools that are not going to open","on 1st June, at the moment anyway, it looks like there will be 1000, possibly 2000 schools that are not going to open",,Asserting
511336,511429,511338,Fiona Bruce : So this rollout that the government wanted is not going to be happening,So this rollout that the government wanted is not going to be happening,,Asserting
511340,511430,511342,Chris Philp : I think there was plenty of advance notice,Chris Philp thinks there was plenty of advance notice,,Asserting
511344,511431,511346,"Chris Philp : The measure was announced a few weeks ago, in response to scientific advice","The measure was announced a few weeks ago, in response to scientific advice",,Asserting
511348,511432,511350,"Chris Philp :  As Camilla said, there is a lot more advice and scientific evidence going to be published tomorrow for all of us to have a look at",Camilla Tominy said there is a lot more advice and scientific evidence going to be published tomorrow for all of us to have a look at,,Asserting
511490,511491,511492,"Camilla Tominey :  I have three school age children, a year 6 child, a year 2 child and a year 5 child","Camilla Tominey has three school age children, a year 6 child, a year 2 child and a year 5 child",,Asserting
511495,511493,511494,"Camilla Tominey : One of them can go back, the eldest, year 6","one of Camilla Tominey's children can go back to school, the eldest, year 6",,Asserting
511499,511500,511501,Camilla Tominey : I have been asked by her school if I want her to go back and said yes,Camilla Tominey has been asked by her school if she wants her child to go back and said yes,,Asserting
511505,511504,511503,Camilla Tominey : we have half term and then one of my three children back and two at home,Camila Tominey and her partner have half term and then one of my three children back at school and two at home,,Asserting
511508,511507,511509,"Camilla Tominey : That means one of us needs to be at home with the children, so work can't go back to normal","just one of three children returning to school means one of Camilla Tominey and her partner needs to be at home with the children, so work can't go back to normal",,Asserting
511515,511516,511517,"Camilla Tominey : I had been asked if all of the children should go back, I would have said yes","I had been asked if all of the children should go back, I would have said yes",,Asserting
511526,511527,511529,Camilla Tominey : I have been impressed by schools how they are going to social distance the children,Camilla Tominey has been impressed by schools how they are going to social distance the children,,Asserting
511534,511532,511533,Fiona Bruce : You don't have some of the fears we have heard from teachers and some of the unions,Camilla Tominey does or does not have some of the fears we have heard from teachers and some of the unions,,Pure Questioning
511537,511539,511540,"Camilla Tominey :  We have had a massive dossier for the eldest, washing hands, having temperature checks at the door and how they are going to be separated in class","We have had a massive dossier for the eldest, washing hands, having temperature checks at the door and how they are going to be separated in class",,Asserting
511545,511546,511548,"Camilla Tominey : Equally, I know there is some lack of consensus over the evidence we have so far as to how infectious children are",there is some lack of consensus over the evidence we have so far as to how infectious children are,,Asserting
511550,511551,511552,Camilla Tominey : It is plausible they are not as infectious as adults,it is plausible children are not as infectious as adults,,Asserting
511556,511558,511557,Camilla Tominey : it is perhaps not proven,it is perhaps not proven that children are less infectious than adults,,Asserting
511562,511563,511564,Camilla Tominey : there have been a number of studies in Australia,there have been a number of studies in Australia on child infectivity rates,,Asserting
511569,511570,511571,Camilla Tominey : studies in Finland,there have been studies in Finland on child infectivity rates,,Asserting
511576,511577,511578,Camilla Tominey : of a child who interacted after coming back from the French Alps and having Coronavirus with hundreds of other children and didn't pass it on,studies of a child who interacted after coming back from the French Alps and having Coronavirus with hundreds of other children and didn't pass it on,,Asserting
