,from,mid,last,TA,S,predict,real
0,510977,510979,510978,Default Transition,Default Rephrase,,Restating
1,510989,510991,510990,Default Transition,Default Rephrase,,Default Illocuting
2,511019,511021,511020,Default Transition,Default Inference,,Arguing
3,511026,511028,511027,Default Transition,Default Inference,,Arguing
4,511038,511040,511039,Default Transition,Default Inference,,Arguing
5,511058,511059,511057,Default Transition,Default Inference,,Arguing
6,511130,511131,511129,Default Transition,Default Rephrase,,Default Illocuting
7,511132,511133,511128,Default Transition,Default Inference,,Arguing
8,511137,511138,511136,Default Transition,Default Inference,,Arguing
9,511140,511141,511139,Default Transition,Default Rephrase,,Restating
10,511143,511144,511117,Default Transition,Default Inference,,Arguing
11,511146,511148,511145,Default Transition,Default Rephrase,,Restating
12,511149,511150,511126,Default Transition,Default Inference,,Arguing
13,511151,511154,511153,Default Transition,Default Rephrase,,Restating
14,511152,511155,511127,Default Transition,Default Inference,,Arguing
15,511168,511170,511169,Default Transition,Default Rephrase,,Default Illocuting
16,511180,511182,511181,Default Transition,Default Inference,,Arguing
17,511187,511200,511198,Default Transition,Default Inference,,Arguing
18,511232,511236,511234,Default Transition,Default Rephrase,,Restating
19,511212,511238,511209,Default Transition,Default Rephrase,,Restating
20,511250,511252,511248,Default Transition,Default Inference,,Arguing
21,511273,511277,511275,Default Transition,Default Inference,,Arguing
22,511197,511281,511279,Default Transition,Default Rephrase,,Restating
23,511405,511407,511406,Default Transition,Default Rephrase,,Restating
24,511439,511441,511438,Default Transition,Default Inference,,Arguing
25,511442,511443,511440,Default Transition,Default Inference,,Arguing
26,511445,511447,511446,Default Transition,Default Inference,,Arguing
27,511448,511450,511449,Default Transition,Default Inference,,Arguing
28,511452,511453,511451,Default Transition,Default Rephrase,,Restating
29,511458,511459,511457,Default Transition,Default Inference,,Arguing
30,511455,511462,511456,Default Transition,Default Inference,,Arguing
31,511460,511463,511461,Default Transition,Default Inference,,Arguing
32,511464,511468,511467,Default Transition,Default Inference,,Arguing
33,511465,511469,511466,Default Transition,Default Inference,,Arguing
34,511473,511475,511474,Default Transition,Default Inference,,Arguing
35,511476,511478,511477,Default Transition,Default Inference,,Arguing
36,511480,511483,511482,Default Transition,Default Inference,,Arguing
37,511513,511512,511511,Default Transition,Default Inference,,Arguing
38,511519,511521,511520,Default Transition,Default Inference,,Arguing
39,511543,511544,511542,Default Transition,Default Inference,,Arguing
40,511560,511561,511555,Default Transition,Default Inference,,Arguing
41,511567,511568,511566,Default Transition,Default Rephrase,,Restating
42,511573,511575,511574,Default Transition,Default Rephrase,,Restating
43,511530,511604,511603,Default Transition,Default Inference,,Arguing
44,511610,511611,511609,Default Transition,Default Inference,,Asserting
45,511608,511614,511613,Default Transition,Default Rephrase,,Restating
46,511607,511615,511612,Default Transition,Default Rephrase,,Restating
47,511858,511861,511860,Default Transition,Default Conflict,,Disagreeing
48,511887,511888,511886,Default Transition,Default Inference,,Arguing
49,511901,511902,511900,Default Transition,Default Rephrase,,Restating
50,511911,511913,511912,Default Transition,Default Rephrase,,Restating
51,511918,511920,511919,Default Transition,Default Inference,,Arguing
52,511934,511941,511940,Default Transition,Default Rephrase,,Restating
53,511946,511948,511947,Default Transition,Default Rephrase,,Restating
54,511958,511960,511959,Default Transition,Default Inference,,Arguing
55,511966,511967,511965,Default Transition,Default Inference,,Arguing
56,511972,511974,511973,Default Transition,Default Rephrase,,Restating
57,511979,511987,511986,Default Transition,Default Inference,,Arguing
58,511998,512000,511999,Default Transition,Default Rephrase,,Restating
59,511985,512002,512001,Default Transition,Default Rephrase,,Restating
60,512007,512009,512008,Default Transition,Default Rephrase,,Restating
61,512019,512020,512018,Default Transition,Default Rephrase,,Restating
62,512022,512023,512021,Default Transition,Default Inference,,Arguing
63,512039,512040,512038,Default Transition,Default Inference,,Arguing
64,512042,512043,512041,Default Transition,Default Inference,,Arguing
65,512028,512045,512044,Default Transition,Default Rephrase,,Restating
66,512033,512047,512046,Default Transition,Default Rephrase,,Restating
67,512052,512054,512053,Default Transition,Default Inference,,Arguing
68,512060,512063,512062,Default Transition,Default Inference,,Arguing
69,512090,512092,512091,Default Transition,Default Inference,,Arguing
70,512102,512104,512103,Default Transition,Default Rephrase,,Restating
71,512145,512147,512146,Default Transition,Default Inference,,Arguing
72,512148,512149,512122,Default Transition,Default Inference,,Arguing
73,512161,512164,512162,Default Transition,Default Inference,,Arguing
74,512250,512257,512256,Default Transition,Default Inference,,Default Illocuting
75,512270,512275,512273,Default Transition,Default Rephrase,,Restating
76,512271,512276,512272,Default Transition,Default Inference,,Arguing
77,512282,512283,512281,Default Transition,Default Inference,,Arguing
78,512293,512296,512294,Default Transition,Default Inference,,Arguing
79,512306,512338,512332,Default Transition,Default Inference,,Arguing
80,512340,512344,512343,Default Transition,Default Inference,,Assertive Questioning
81,512402,512404,512400,Default Transition,Default Inference,,Arguing
82,512406,512423,512408,Default Transition,Default Inference,,Arguing
83,512413,512425,512411,Default Transition,Default Inference,,Arguing
84,512419,512427,512415,Default Transition,Default Inference,,Arguing
85,512422,512430,512417,Default Transition,Default Inference,,Arguing
