,from,mid,last,I1,I2,predict,real
0,510975,510978,510970,some schools are not going to go back on the 1st June,there's obviously some schools are going to go back on 1st June,,Default Rephrase
1,510987,510990,510982,it is a mixed picture,xxx is happening with schools where Andy Burnham is,,Default Rephrase
2,511017,511020,511012,it is not as if the schools have not been doing anything over recent weeks,the key thing is here schools haven't closed,,Default Inference
3,511024,511027,511017,of course the schools have been looking after children of key workers,it is not as if the schools have not been doing anything over recent weeks,,Default Inference
4,511031,511039,511036,teachers are feeling a bit stressed from the teacher-bashing they have seen this week,we need to sort of de-escalate this row a little bit,,Default Inference
5,510994,511057,510987,some schools are going back,it is a mixed picture,,Default Inference
6,510998,511057,510987,some schools have said they would rather take their time to get the right arrangements in place,it is a mixed picture,,Default Inference
7,511082,511117,511086,"at no point are we going to take any risk with anyone's health, the children's, teachers', parents, anyone",the advice is so important,,Default Inference
8,511120,511126,511124,"it is safe to go back on June 1, as we currently believe it is","Chris Philip would encourage all schools to resume, in a safe way, to make sure children don't fall behind",,Default Inference
9,511099,511127,511103,"we don't want any child to get left behind, particularly those from disadvantaged backgrounds",let's all work together to reopen schools,,Default Inference
10,511111,511128,511115,there are thousands of head teachers and tens of hundreds of thousands of teachers,it is hard to announce it to tens of thousands of people,,Default Inference
11,511115,511129,511107,it is hard to announce it to tens of thousands of people,it would be more likely to be successful if head teachers had known about 1 June before it was announced to the nation at large when they heard it on television or not,,Default Rephrase
12,511074,511136,511070,"Chris Philip is worried that there are children who are missing out on education, children particularly from disadvantaged backgrounds who are at risk of falling behind in their studies",it is really important when safe to get children back into school for exactly the reason that Claire mentioned in her question,,Default Inference
13,511078,511139,511070,as soon as we safely can it is important to get children back into the classroom,it is really important when safe to get children back into school for exactly the reason that Claire mentioned in her question,,Default Rephrase
14,511094,511145,511090,there will be further confirmation coming next week,the advice will get published tomorrow,,Default Rephrase
15,511099,511153,511124,"we don't want any child to get left behind, particularly those from disadvantaged backgrounds","Chris Philip would encourage all schools to resume, in a safe way, to make sure children don't fall behind",,Default Rephrase
16,511166,511169,511162,we should be doing innovative education like Denmark here,Helle Thorning-Schmidt does or does not think we could be doing similar innovative education like Denmark,,Default Rephrase
17,511178,511181,511166,we should use those empty facilities and give of a different kind of education,we should be doing innovative education like Denmark here,,Default Inference
18,511173,511181,511166,"we have empty museums, empty theatres, empty sports facilities",we should be doing innovative education like Denmark here,,Default Inference
19,511185,511198,511178,Danish children were getting sailing education in the sea,we should use those empty facilities and give of a different kind of education,,Default Inference
20,511206,511209,511195,creating innovative education like Denmark can't be dictated by the government,creating innovative education like Denmark can only be done by local authorities,,Default Rephrase
21,511228,511234,511218,the government needs to have much more consultation with the local authorities and cities of this country,local authorities creating innovative education instead of the government is another reason why Helle Thorning-Schmidth thinks the government needs to have much more consultation with the four nations of this country,,Default Rephrase
22,511195,511248,511244,creating innovative education like Denmark can only be done by local authorities,the government needs to have much more consultation with the local authorities to make sure creating innovative education like Denmark can happen in a smooth way,,Default Inference
23,511269,511275,511260,nothing good comes from this row between the government and local authorities about innovative education that we have seen over the last week,Helle Thorning-Schmidt would really advise to take the heat out of this disagreement between the government and local authorities,,Default Inference
